Dataset,Model,Correlation,Chain
Expression,AbLang2,0.3441365785167041,heavy
Expression,DASM,0.6878287662101886,heavy
Expression,ESM,0.41849968066578075,heavy
Expression,ProGen2,0.5593402863044538,heavy
Binding,DASM,0.335262800368749,heavy
Binding,ESM,-0.0249966507320744,heavy
Binding,ProGen2,0.1560679289037151,heavy
Binding,AbLang2,-0.03170537168088481,heavy
Expression,DASM,0.6740499737888258,light
Expression,ESM,0.468534526117776,light
Expression,ProGen2,0.5675323953014824,light
Expression,AbLang2,0.08444700955737755,light
Binding,DASM,0.31637067173049155,light
Binding,ESM,0.2831010452777569,light
Binding,ProGen2,0.27560075429738645,light
Binding,AbLang2,0.048693905361450594,light
